ID,SchemaVersion,SourceName,SourceURL,Company,PublishedDate,IsRemote,RoleFamily,CollectedAt
1184,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/pertemps-erp/sap-berechtigungsmanager-dusseldorf-356908,Pertemps ERP,2026-09-11T18:31:39Z,0,Engineering,2026-09-11T18:31:39Z
1185,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/docker/senior-security-engineer-offensive-security-england-36824,Docker,2026-09-11T18:31:39Z,0,AI/ML,2026-09-11T18:31:39Z
1186,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/accelerationpartners/enterprise-account-executive-new-business-development-166357,Accelerationpartners,2026-09-11T18:31:39Z,0,AI/ML,2026-09-11T18:31:39Z
1187,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/accelerationpartners/enterprise-account-executive-new-business-development-london-manchester-newcastle-upon-tyne-61930,Accelerationpartners,2026-09-11T18:31:39Z,0,AI/ML,2026-09-11T18:31:39Z
1188,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/unternehmertum-ggmbh/uvc-partners-data-ai-master-thesis-internship-munchen-kreativquartier-290571,UnternehmerTUM gGmbH,2026-09-11T18:31:38Z,0,Data Science,2026-09-11T18:31:38Z
1189,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/trainline/head-of-product-b2b-london-45838,Trainline,2026-09-11T18:31:39Z,0,Data Science,2026-09-11T18:31:39Z
1190,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/pertemps-erp/sap-hcm-successfactors-team-lead-frankfurt-am-main-329773,Pertemps ERP,2026-09-11T18:31:39Z,1,Management,2026-09-11T18:31:39Z
1191,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/uipath/senior-sales-director-rvp-consumer-industries-uki-london-122064,UiPath,2026-09-11T18:31:39Z,0,Management,2026-09-11T18:31:39Z
1192,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/cybersecurity-management-consultant-munchen-196725,Trusteq Gmbh,2026-09-11T18:31:38Z,0,Engineering,2026-09-11T18:31:38Z
1193,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/trainline/junior-net-engineer-london-286757,Trainline,2026-09-11T18:31:39Z,0,Engineering,2026-09-11T18:31:39Z
